length , start  , read   , filter , measure , tagging , sort   , end
11, 7985, 10999, 12901, 14576, 16223, 17723, 19168
12, 616, 1421, 1761, 1998, 2245, 2485, 2735
13, 585, 1867, 2055, 2237, 2423, 2610, 2806
14, 573, 1593, 1784, 1968, 2149, 2328, 3515
15, 543, 1836, 3432, 3626, 3810, 3998, 4194
16, 559, 1326, 1514, 1696, 1880, 2065, 2256
1, 3951, 6448, 7695, 9272, 10433, 11778, 13016
2, 955, 3843, 4060, 4266, 4460, 4646, 4847
3, 646, 1638, 2056, 2294, 2547, 2791, 3010
4, 775, 2679, 2873, 3068, 3260, 3454, 3650
5, 526, 1626, 1818, 2016, 2209, 2397, 2595
6, 430, 725, 921, 1126, 1321, 1538, 1744
7, 449, 1240, 1461, 1660, 1857, 2051, 2244
8, 461, 1199, 1382, 1578, 1758, 1936, 2107
9, 3375, 6074, 7439, 8858, 10074, 11365, 12665
10, 485, 1401, 1588, 1771, 1955, 2130, 2319
11, 503, 1356, 1540, 1718, 1899, 2096, 2292
12, 364, 754, 1006, 1250, 1493, 1745, 1996
13, 454, 744, 930, 1112, 1286, 1462, 1650
1, 3764, 7369, 9077, 10696, 12124, 13665, 15201
2, 2178, 4707, 5385, 6011, 6514, 7009, 7552
3, 3077, 5785, 7152, 8402, 9641, 10949, 12335
4, 3135, 6143, 7506, 9387, 10615, 11884, 12984
5, 1068, 2368, 2753, 3047, 3259, 3467, 3664
6, 1849, 4032, 4275, 4466, 4662, 4869, 5069
7, 1632, 4020, 5180, 5386, 5663, 5869, 6083
8, 566, 1374, 1560, 1743, 1928, 2108, 2306
9, 652, 1681, 1877, 2069, 2257, 2446, 2645
10, 769, 1443, 1630, 1825, 2015, 2206, 2395
11, 629, 1572, 1768, 1965, 2158, 2354, 2554
12, 3770, 7577, 9499, 11224, 12897, 14665, 16307
13, 530, 1747, 1942, 2137, 2326, 2517, 2718
14, 512, 1204, 1395, 1579, 1766, 1947, 2136
15, 461, 793, 981, 1165, 1348, 1534, 1729
1, 3728, 6633, 8280, 13832, 15493, 17029, 18637
